LMT1_x,LMT1_y,LMT1_z,RMT1_x,RMT1_y,RMT1_z,LMT5_x,LMT5_y,LMT5_z,RMT5_x,RMT5_y,RMT5_z,LHeel_x,LHeel_y,LHeel_z,RHeel_x,RHeel_y,RHeel_z
377.023253,-931.6284702,3.69466618,-606.6564027,-855.0631109,-98.75136115,378.4391795,-899.217827,-107.6884518,-610.9972952,-845.9664169,14.64464318,181.0112939,-861.7132049,-67.73623562,-608.4194751,-648.9433839,-26.78583204
394.4543592,-933.9056292,8.300881548,-622.0159319,-829.6318813,-101.4636686,395.4533499,-906.2112745,-104.3520294,-622.4249962,-823.6832131,12.22315122,196.7830626,-873.0681337,-66.77284088,-615.5750474,-625.6963906,-23.76992168
408.8978779,-934.6761462,12.95111642,-635.5479371,-802.6631767,-103.6478629,410.0862879,-913.4672053,-101.0989696,-631.8126201,-800.3066026,10.10951471,210.4807804,-882.638395,-66.63490005,-619.9537694,-601.5815314,-20.03876357
419.8421255,-936.0199425,16.85790243,-646.4146884,-774.5842523,-104.9278943,421.7754205,-919.608084,-97.97052125,-638.9239265,-775.9789157,8.659914841,221.4935714,-889.9818343,-66.5060576,-621.4356065,-576.8796074,-15.72920307
427.5586925,-936.3292772,20.27968012,-654.7902551,-745.74147,-105.4298751,430.0286486,-925.888061,-95.23453517,-643.6503486,-751.0103861,7.744273892,229.3826629,-896.0436024,-66.40671944,-619.6049517,-551.995997,-11.13155175
431.7965796,-935.8513595,22.96479385,-660.9705465,-716.8493952,-105.1707428,434.401395,-932.5077381,-92.96919058,-646.3499991,-725.9856082,7.359325187,233.6624993,-901.3372272,-66.27010415,-614.4832083,-527.6656358,-6.601375253
432.7766364,-937.0817336,24.47071757,-663.9835996,-688.4850841,-104.0810493,434.8212508,-937.9461675,-91.51947994,-646.6464957,-701.0077767,7.735112304,234.2744169,-905.4145459,-65.00142451,-606.2929788,-504.0126484,-2.546816704
430.6079138,-938.6704799,25.10520257,-664.4830035,-660.9771706,-102.2580616,431.3038935,-943.7228791,-90.79407477,-644.6373548,-676.4663246,8.766635348,231.2886931,-908.8991361,-63.19384333,-595.4634473,-481.3725483,0.921239398
425.8597433,-940.6661307,24.79048814,-662.4516875,-634.6478914,-99.95975812,424.2535374,-950.0371234,-90.83069595,-640.5338368,-652.5840079,10.30424567,225.2244163,-911.766703,-60.77524549,-582.0449825,-460.0364495,3.544318001
417.9484227,-944.5142465,24.65528759,-657.751826,-608.8090651,-97.48105364,414.0047511,-955.29944,-90.7863889,-634.7232419,-629.5347985,12.06517075,216.1392551,-913.8359622,-57.46114728,-566.0080315,-440.3482502,6.78551651
407.9200182,-949.822449,22.87025035,-650.9106344,-586.1451486,-93.31994109,400.5939932,-960.9933309,-92.3694753,-624.7963249,-607.3510012,15.43943389,204.6840731,-914.9637358,-53.88407786,-549.8574837,-420.6571281,7.02677525
394.5430662,-955.1473009,23.10766557,-641.3166963,-563.3497914,-89.96649353,385.3307261,-966.8984019,-91.9388382,-614.4203134,-586.4911551,18.20609479,191.0600305,-916.2590198,-51.01090108,-530.8753571,-403.4948469,9.615608111
378.9303083,-961.273444,21.39539819,-629.8828143,-543.4186793,-84.53875463,366.7805187,-969.4291279,-93.68944462,-599.2260208,-566.1928143,22.7074424,174.6139294,-916.1441925,-46.64410603,-511.8307831,-385.3238539,8.934405985
360.3671795,-965.6245139,21.32356609,-615.575613,-524.8339507,-79.4636292,346.7546211,-971.2844478,-93.74735558,-582.6852634,-547.579146,27.12496298,155.7433626,-916.9820415,-43.28455709,-491.3278533,-368.9999306,9.675251451
339.1640071,-969.6105848,21.81662969,-599.4482273,-507.3881852,-74.4165631,325.0306127,-971.8609398,-93.30867891,-564.5947862,-530.3957558,31.48969886,134.725753,-917.3205185,-40.48871039,-468.8423115,-354.5030875,10.64652719
